path_nbr, x, y, cost, index, parent_index;
4, 172.102242, 0.330902, 173.224324, 7963, 3975;
4, 173.108715, 0.257687, 174.233457, 6892, 7963;
4, 174.106703, 0.202073, 175.232993, 8047, 6892;
4, 176.085434, -0.001078, 177.222126, 899, 8047;
4, 176.694093, -0.016140, 177.830971, 8132, 899;
4, 176.902912, -0.056506, 178.043656, 2384, 8132;
4, 178.849809, 0.171699, 180.016501, 7913, 2384;
4, 180.299219, 0.160330, 181.465955, 5985, 7913;
4, 181.258759, 0.191113, 182.425989, 8135, 5985;
5, 0.000000, 0.000000, 0.000000, 0, -1;
5, 1.999727, 0.025479, 1.999889, 2, 0;
5, 3.248272, 0.072140, 3.249306, 6814, 2;
5, 4.993990, 0.137239, 4.996237, 5, 6814;
5, 6.993784, 0.130844, 6.997010, 7, 5;
5, 8.751735, 0.088592, 8.755468, 7235, 7;
5, 9.367126, 0.100002, 9.370965, 7244, 7235;
5, 11.299326, 0.124113, 11.303316, 5399, 7244;
5, 13.009807, 0.124489, 13.019509, 2595, 5399;
5, 14.196613, 0.164689, 14.206996, 5467, 2595;
5, 15.054660, 0.191089, 15.065449, 2844, 5467;
5, 16.280496, 0.280646, 16.294552, 7135, 2844;
5, 17.657315, 0.328741, 17.672211, 7031, 7135;
5, 19.351931, 0.296144, 19.373019, 6379, 7031;
5, 21.103230, 0.347955, 21.126311, 133, 6379;
5, 22.624213, 0.444280, 22.650341, 7481, 133;
5, 23.522038, 0.539906, 23.553245, 2780, 7481;
5, 24.947152, 0.730515, 24.991626, 7476, 2780;
5, 26.725348, 0.846086, 26.773574, 5515, 7476;
5, 28.515949, 1.133869, 28.587154, 7754, 5515;
5, 30.319555, 1.039644, 30.393220, 7466, 7754;
5, 31.704650, 1.049805, 31.778378, 6595, 7466;
5, 33.115920, 1.093408, 33.190583, 5330, 6595;
5, 34.441489, 1.322638, 34.549564, 4774, 5330;
