s, x, y;
22.550000, 22.217694, 0.953344;
22.600000, 22.267457, 0.958206;
22.650000, 22.317215, 0.963119;
22.700000, 22.366968, 0.968086;
22.750000, 22.416715, 0.973107;
22.800000, 22.466457, 0.978186;
22.850000, 22.516192, 0.983322;
22.900000, 22.565922, 0.988517;
22.950000, 22.615649, 0.993731;
23.000000, 22.665376, 0.998953;
23.050000, 22.715102, 1.004180;
23.100000, 22.764827, 1.009412;
23.150000, 22.814552, 1.014649;
23.200000, 22.864277, 1.019890;
23.250000, 22.914001, 1.025135;
23.300000, 22.963725, 1.030384;
23.350000, 23.013448, 1.035635;
23.400000, 23.063171, 1.040888;
23.450000, 23.112894, 1.046142;
23.500000, 23.162617, 1.051398;
23.550000, 23.212340, 1.056655;
23.600000, 23.262063, 1.061911;
23.650000, 23.311786, 1.067167;
23.700000, 23.361509, 1.072423;
23.750000, 23.411233, 1.077676;
23.800000, 23.460956, 1.082928;
23.850000, 23.510680, 1.088177;
23.900000, 23.560404, 1.093423;
23.950000, 23.610128, 1.098666;
24.000000, 23.659853, 1.103904;
24.050000, 23.709578, 1.109138;
24.100000, 23.759304, 1.114367;
24.150000, 23.809031, 1.119590;
24.200000, 23.858758, 1.124807;
24.250000, 23.908485, 1.130017;
24.300000, 23.958214, 1.135220;
24.350000, 24.007943, 1.140416;
24.400000, 24.057674, 1.145603;
24.450000, 24.107405, 1.150781;
24.500000, 24.157137, 1.155950;
24.550000, 24.206870, 1.161109;
24.600000, 24.256604, 1.166258;
24.650000, 24.306339, 1.171396;
24.700000, 24.356076, 1.176522;
24.750000, 24.405814, 1.181637;
24.800000, 24.455553, 1.186739;
24.850000, 24.505293, 1.191828;
24.900000, 24.555035, 1.196904;
24.950000, 24.604777, 1.201972;
25.000000, 24.654520, 1.207038;
25.050000, 24.704263, 1.212104;
25.100000, 24.754005, 1.217168;
25.150000, 24.803748, 1.222232;
25.200000, 24.853491, 1.227294;
25.250000, 24.903234, 1.232357;
25.300000, 24.952978, 1.237418;
25.350000, 25.002721, 1.242479;
25.400000, 25.052464, 1.247539;
25.450000, 25.102207, 1.252599;
25.500000, 25.151951, 1.257658;
25.550000, 25.201694, 1.262717;
25.600000, 25.251438, 1.267776;
25.650000, 25.301181, 1.272834;
25.700000, 25.350925, 1.277893;
25.750000, 25.400668, 1.282951;
25.800000, 25.450411, 1.288010;
25.850000, 25.500155, 1.293068;
25.900000, 25.549898, 1.298127;
25.950000, 25.599642, 1.303186;
26.000000, 25.649385, 1.308245;
26.050000, 25.699129, 1.313305;
26.100000, 25.748872, 1.318365;
26.150000, 25.798615, 1.323426;
26.200000, 25.848358, 1.328487;
26.250000, 25.898101, 1.333549;
26.300000, 25.947844, 1.338611;
26.350000, 25.997587, 1.343674;
26.400000, 26.047330, 1.348739;
26.450000, 26.097073, 1.353804;
26.500000, 26.146816, 1.358870;
26.550000, 26.196558, 1.363937;
26.600000, 26.246301, 1.369005;
26.650000, 26.296043, 1.374075;
26.700000, 26.345785, 1.379146;
26.750000, 26.395527, 1.384218;
26.800000, 26.445269, 1.389292;
26.850000, 26.495011, 1.394367;
26.900000, 26.544753, 1.399443;
26.950000, 26.594494, 1.404522;
27.000000, 26.644235, 1.409602;
27.050000, 26.693976, 1.414684;
27.100000, 26.743717, 1.419767;
27.150000, 26.793458, 1.424853;
27.200000, 26.843199, 1.429940;
27.250000, 26.892939, 1.435030;
27.300000, 26.942679, 1.440121;
27.350000, 26.992419, 1.445215;
27.400000, 27.042158, 1.450312;
27.450000, 27.091896, 1.455431;
27.500000, 27.141629, 1.460586;
27.550000, 27.191359, 1.465773;
27.600000, 27.241086, 1.470990;
27.650000, 27.290811, 1.476235;
27.700000, 27.340532, 1.481506;
27.750000, 27.390251, 1.486799;
27.800000, 27.439968, 1.492114;
27.850000, 27.489682, 1.497448;
27.900000, 27.539395, 1.502797;
27.950000, 27.589107, 1.508161;
28.000000, 27.638817, 1.513537;
28.050000, 27.688526, 1.518921;
28.100000, 27.738235, 1.524313;
28.150000, 27.787943, 1.529710;
28.200000, 27.837650, 1.535109;
28.250000, 27.887358, 1.540508;
28.300000, 27.937066, 1.545905;
28.350000, 27.986774, 1.551297;
28.400000, 28.036483, 1.556683;
28.450000, 28.086193, 1.562060;
28.500000, 28.135905, 1.567425;
28.550000, 28.185617, 1.572776;
28.600000, 28.235332, 1.578111;
28.650000, 28.285049, 1.583428;
28.700000, 28.334767, 1.588724;
28.750000, 28.384488, 1.593997;
28.800000, 28.434212, 1.599245;
28.850000, 28.483939, 1.604465;
28.900000, 28.533669, 1.609655;
28.950000, 28.583402, 1.614813;
29.000000, 28.633139, 1.619936;
29.050000, 28.682880, 1.625022;
29.100000, 28.732624, 1.630069;
29.150000, 28.782373, 1.635075;
29.200000, 28.832126, 1.640036;
29.250000, 28.881884, 1.644952;
29.300000, 28.931647, 1.649819;
29.350000, 28.981414, 1.654635;
29.400000, 29.031187, 1.659397;
29.450000, 29.080965, 1.664105;
29.500000, 29.130748, 1.668754;
29.550000, 29.180537, 1.673344;
29.600000, 29.230332, 1.677871;
29.650000, 29.280132, 1.682333;
29.700000, 29.329939, 1.686728;
29.750000, 29.379751, 1.691054;
29.800000, 29.429570, 1.695308;
29.850000, 29.479394, 1.699497;
29.900000, 29.529221, 1.703653;
29.950000, 29.579050, 1.707782;
30.000000, 29.628881, 1.711886;
30.050000, 29.678715, 1.715966;
30.100000, 29.728550, 1.720025;
30.150000, 29.778386, 1.724063;
30.200000, 29.828225, 1.728082;
30.250000, 29.878064, 1.732085;
30.300000, 29.927905, 1.736073;
30.350000, 29.977747, 1.740048;
30.400000, 30.027589, 1.744011;
30.450000, 30.077433, 1.747965;
30.500000, 30.127277, 1.751910;
30.550000, 30.177121, 1.755849;
30.600000, 30.226966, 1.759784;
30.650000, 30.276811, 1.763716;
30.700000, 30.326657, 1.767647;
30.750000, 30.376502, 1.771578;
30.800000, 30.426347, 1.775512;
30.850000, 30.476192, 1.779450;
30.900000, 30.526036, 1.783393;
30.950000, 30.575879, 1.787345;
31.000000, 30.625722, 1.791306;
31.050000, 30.675564, 1.795277;
31.100000, 30.725405, 1.799262;
31.150000, 30.775245, 1.803261;
31.200000, 30.825084, 1.807276;
31.250000, 30.874921, 1.811310;
31.300000, 30.924756, 1.815363;
31.350000, 30.974590, 1.819438;
31.400000, 31.024422, 1.823536;
31.450000, 31.074251, 1.827658;
31.500000, 31.124079, 1.831808;
31.550000, 31.173904, 1.835986;
31.600000, 31.223727, 1.840194;
31.650000, 31.273546, 1.844434;
31.700000, 31.323364, 1.848708;
31.750000, 31.373177, 1.853017;
31.800000, 31.422988, 1.857363;
31.850000, 31.472796, 1.861748;
31.900000, 31.522599, 1.866173;
31.950000, 31.572399, 1.870641;
32.000000, 31.622195, 1.875153;
32.050000, 31.671987, 1.879711;
32.100000, 31.721775, 1.884316;
32.150000, 31.771558, 1.888970;
32.200000, 31.821336, 1.893675;
32.250000, 31.871109, 1.898433;
32.300000, 31.920877, 1.903245;
32.350000, 31.970639, 1.908114;
32.400000, 32.020396, 1.913040;
32.450000, 32.070150, 1.917992;
32.500000, 32.119906, 1.922923;
32.550000, 32.169665, 1.927833;
32.600000, 32.219425, 1.932725;
32.650000, 32.269187, 1.937599;
32.700000, 32.318950, 1.942457;
32.750000, 32.368715, 1.947301;
32.800000, 32.418481, 1.952131;
32.850000, 32.468248, 1.956951;
32.900000, 32.518016, 1.961759;
32.950000, 32.567785, 1.966560;
33.000000, 32.617555, 1.971352;
33.050000, 32.667326, 1.976139;
33.100000, 32.717096, 1.980922;
33.150000, 32.766867, 1.985701;
33.200000, 32.816638, 1.990479;
33.250000, 32.866410, 1.995257;
33.300000, 32.916181, 2.000036;
33.350000, 32.965952, 2.004818;
33.400000, 33.015722, 2.009605;
33.450000, 33.065492, 2.014396;
33.500000, 33.115261, 2.019195;
33.550000, 33.165029, 2.024003;
33.600000, 33.214797, 2.028820;
33.650000, 33.264563, 2.033649;
33.700000, 33.314328, 2.038491;
33.750000, 33.364092, 2.043347;
33.800000, 33.413854, 2.048218;
33.850000, 33.463614, 2.053107;
33.900000, 33.513373, 2.058014;
33.950000, 33.563129, 2.062942;
34.000000, 33.612884, 2.067891;
34.050000, 33.662636, 2.072862;
34.100000, 33.712386, 2.077859;
34.150000, 33.762133, 2.082881;
34.200000, 33.811877, 2.087930;
34.250000, 33.861619, 2.093007;
34.300000, 33.911357, 2.098115;
34.350000, 33.961092, 2.103255;
34.400000, 34.010824, 2.108427;
34.450000, 34.060552, 2.113634;
34.500000, 34.110277, 2.118877;
34.550000, 34.159997, 2.124157;
34.600000, 34.209713, 2.129475;
34.650000, 34.259425, 2.134834;
34.700000, 34.309133, 2.140234;
34.750000, 34.358836, 2.145678;
34.800000, 34.408534, 2.151166;
