x, y, cost, index, parent_index;
58.407353, -1.294956, 133.825614, 254, 250;
59.896530, -1.474822, 138.328229, 255, 251;
61.396331, -1.450375, 142.804661, 256, 254;
62.890900, -1.322842, 147.322900, 257, 255;
25.331175, 1.385185, 46.804239, 258, 201;
3.971610, 11.496942, 14.869611, 259, 26;
21.940220, 0.470964, 43.225900, 260, 199;
23.767459, 14.622772, 10.434450, 261, 8;
60.253318, -0.784439, 139.571388, 262, 254;
22.887213, 18.968261, 9.612966, 263, 98;
22.246786, 0.982431, 43.586426, 264, 199;
0.576145, 8.784579, 18.638406, 265, 182;
2.185967, 19.793540, 12.343571, 266, 54;
-1.021766, -0.156108, 28.083494, 267, 77;
19.473176, 21.866622, 8.891474, 268, 31;
18.877852, 18.735150, 5.835088, 269, 19;
8.161191, 21.353325, 6.742942, 270, 24;
51.065860, 0.161499, 113.596393, 271, 243;
-1.548937, 19.649248, 15.927722, 272, 225;
28.865780, -0.206471, 50.228089, 273, 204;
31.069564, -3.710549, 54.568600, 274, 208;
64.239388, -1.979788, 151.480448, 275, 256;
3.112306, 6.792634, 19.433870, 276, 35;
40.562575, 0.606548, 81.237605, 277, 219;
63.582946, -1.343952, 149.372272, 278, 256;
27.952170, -0.506482, 49.471319, 279, 204;
-4.626872, 1.015115, 28.900439, 280, 70;
22.842886, 15.249090, 9.365374, 281, 223;
13.735854, -1.144590, 34.758568, 282, 232;
1.855809, 9.232041, 17.937289, 283, 182;
-0.602978, 14.161121, 15.642229, 284, 143;
1.724829, 6.740631, 19.903090, 285, 56;
-2.669061, 21.002666, 17.636830, 286, 218;
52.148342, -1.477793, 115.052751, 287, 243;
21.121215, 21.630665, 9.506240, 288, 50;
0.500753, 15.679095, 14.015198, 289, 118;
18.547368, 1.260611, 40.370979, 290, 152;
18.138453, -1.169320, 39.119043, 291, 152;
-5.957760, 0.116233, 30.506445, 292, 280;
33.229628, 0.714603, 59.714352, 293, 210;
16.932431, 18.678007, 3.346074, 294, 126;
-0.581810, 5.465392, 22.154550, 295, 154;
2.126702, 5.148539, 21.308958, 296, 36;
32.976796, -1.028447, 57.243007, 297, 210;
20.773297, 14.428500, 7.660556, 298, 224;
-1.207054, -0.429614, 28.335395, 299, 77;
19.768474, 19.658807, 6.361368, 300, 31;
-6.389671, -0.826963, 31.450088, 301, 280;
-3.873392, 10.074598, 20.587727, 302, 57;
22.613025, 18.511414, 9.180207, 303, 108;
-0.888871, 19.510142, 15.261552, 304, 76;
30.556768, -5.120173, 56.068600, 305, 274;
41.950782, -0.709559, 84.255796, 306, 219;
-0.661729, 15.952816, 15.143183, 307, 63;
-2.823441, 4.287508, 24.279983, 308, 119;
22.161353, 17.014198, 8.581999, 309, 25;
-3.725181, -1.479950, 30.335679, 310, 86;
40.332784, -1.486034, 79.638885, 311, 217;
63.458226, 0.150854, 150.636526, 312, 256;
12.913306, 17.465601, 1.210986, 313, 0;
12.690101, 14.968705, 3.326389, 314, 44;
-3.576301, 3.415377, 25.432116, 315, 308;
-3.887390, 9.111978, 21.396249, 316, 122;
-2.574820, 12.652256, 18.014324, 317, 90;
9.656884, 19.051220, 4.521179, 318, 149;
20.696463, 20.027707, 7.352702, 319, 31;
55.232584, -0.023264, 125.826570, 320, 247;
26.766995, 0.159835, 48.067907, 321, 202;
18.344362, 16.462403, 4.689851, 322, 5;
-0.431349, 8.452598, 19.594349, 323, 182;
-0.603566, 20.225175, 15.166301, 324, 266;
-3.624340, 21.748036, 18.584947, 325, 286;
-3.525945, 21.032683, 18.230691, 326, 286;
63.772698, 0.007549, 151.168509, 327, 256;
-0.093030, 1.718932, 25.432820, 328, 72;
10.422585, 0.775576, 31.100818, 329, 196;
9.176881, 14.481161, 6.004535, 330, 139;
45.681902, -0.778670, 95.481107, 331, 227;
41.681841, -0.181917, 83.506865, 332, 219;
10.199213, 21.053747, 4.937647, 333, 67;
-8.038564, 1.241077, 32.871824, 334, 292;
45.294126, -1.875651, 95.618227, 335, 227;
62.500320, 1.305157, 151.710037, 336, 256;
-5.824469, -0.912374, 31.169680, 337, 280;
20.414015, 20.504151, 7.284959, 338, 31;
2.301154, 2.443243, 23.863102, 339, 140;
6.870132, 17.074046, 7.207291, 340, 168;
17.555554, 1.239859, 39.772126, 341, 152;
62.815566, -0.704301, 147.261891, 342, 262;
62.248233, 0.214470, 147.014878, 343, 255;
-3.217046, 19.966190, 17.625674, 344, 272;
24.778045, -1.059956, 46.645767, 345, 201;
59.761441, 0.384932, 140.298650, 346, 254;
15.368582, -1.756636, 36.502242, 347, 282;
10.274577, 19.617138, 4.062595, 348, 7;
52.729455, -1.484012, 116.828410, 349, 244;
55.504599, 0.970474, 128.627189, 350, 247;
31.942076, -5.695431, 56.736787, 351, 274;
-0.149196, 19.624307, 14.656101, 352, 76;
-0.591436, 10.994891, 17.212526, 353, 153;
-2.494554, 7.458534, 21.259884, 354, 73;
8.469730, 19.579770, 5.782956, 355, 149;
49.464875, -1.215464, 106.914479, 356, 238;
3.253286, 0.875982, 25.373785, 357, 62;
7.550203, 16.684948, 6.589301, 358, 168;
29.691672, 1.026494, 51.682434, 359, 273;
2.506461, 5.687514, 20.667433, 360, 34;
14.421217, 21.503417, 3.571919, 361, 138;
1.835488, 0.386239, 25.972157, 362, 339;
39.357611, -1.279201, 76.654827, 363, 217;
29.954410, -6.493914, 57.567049, 364, 274;
12.022593, 15.232244, 3.586230, 365, 44;
-0.119777, 11.537090, 16.493914, 366, 153;
16.548422, -1.006721, 37.544430, 367, 148;
23.488103, 20.929665, 10.286435, 368, 319;
34.936620, -1.208190, 63.147156, 369, 297;
12.631706, 20.991084, 3.300760, 370, 167;
21.984359, 14.066844, 8.924465, 371, 298;
7.130486, 17.093152, 6.946573, 372, 168;
1.687903, 1.185435, 25.262444, 373, 339;
17.789335, -1.758736, 38.922996, 374, 347;
12.946554, 21.543290, 3.737137, 375, 167;
-1.357192, 1.855221, 25.860609, 376, 162;
8.006029, 15.775940, 6.402671, 377, 12;
-1.798772, 8.510655, 19.974606, 378, 353;
30.770575, -5.513848, 56.396518, 379, 274;
14.443953, 21.567020, 3.635818, 380, 138;
40.300381, 1.696743, 83.239515, 381, 219;
0.672176, 6.617256, 20.587426, 382, 141;
1.882148, 15.249751, 12.977364, 383, 137;
-2.469277, 6.594039, 22.005122, 384, 378;
-1.948373, 6.294730, 22.195575, 385, 378;
2.428416, 1.811201, 24.483642, 386, 140;
29.335742, 1.282920, 50.871437, 387, 321;
-0.840871, 17.155039, 15.154320, 388, 63;
10.151740, -1.199557, 31.435910, 389, 144;
