path_nbr, x, y, cost, index, parent_index;
3, 82.475121, -0.410605, 83.147279, 124, 122;
3, 83.475071, -0.400633, 84.147279, 125, 124;
3, 85.414688, -0.057355, 86.117038, 128, 125;
3, 87.411964, -0.005572, 88.114986, 130, 128;
3, 88.411811, 0.011952, 89.114986, 131, 130;
3, 89.474390, 0.048324, 90.178187, 1440, 131;
3, 91.408642, 0.125007, 92.113959, 139, 1440;
3, 92.937816, 0.163514, 93.643618, 2080, 139;
3, 93.406331, 0.187223, 94.112732, 142, 2080;
3, 95.376208, 0.255981, 96.083873, 694, 142;
3, 96.780605, 0.285112, 97.488573, 1593, 694;
3, 98.345754, -0.053071, 99.089841, 240, 1593;
3, 99.578981, -0.175684, 100.329148, 1963, 240;
3, 100.144376, -0.249583, 100.899352, 894, 1963;
3, 101.983014, -0.383079, 102.770069, 577, 894;
3, 103.284557, -0.441722, 104.072933, 898, 577;
3, 105.201850, -0.548144, 105.993177, 1897, 898;
3, 105.988558, -0.500975, 106.781298, 378, 1897;
3, 107.716408, -0.598527, 108.528833, 1604, 378;
3, 109.114525, -0.609029, 109.926990, 185, 1604;
3, 110.794004, -0.446975, 111.614268, 1780, 185;
3, 111.519433, -0.627016, 112.361705, 697, 1780;
3, 112.768528, -1.072355, 113.687814, 1919, 697;
3, 114.494239, -1.138779, 115.414803, 1795, 1919;
3, 116.242970, -1.352422, 117.206685, 945, 1795;
3, 117.535906, -1.174475, 118.511809, 2330, 945;
3, 119.113985, -0.853027, 120.122294, 673, 2330;
3, 120.590525, -0.588638, 121.622317, 2351, 673;
3, 121.877283, -0.324612, 122.935884, 1251, 2351;
3, 123.520305, -0.251030, 124.657344, 1464, 1251;
3, 124.775721, -0.252232, 125.912761, 2102, 1464;
3, 126.071596, -0.160090, 127.211908, 233, 2102;
3, 128.071189, -0.161088, 129.219554, 242, 233;
3, 130.071014, -0.187504, 131.219553, 247, 242;
3, 132.064718, -0.241045, 133.213976, 250, 247;
3, 133.064712, -0.237573, 134.213976, 251, 250;
3, 134.172700, -0.248943, 135.322022, 1876, 251;
3, 136.059084, -0.207412, 137.208863, 263, 1876;
