x, y, cost, index, parent_index;
1400.455935, 16.872880, 1402.653636, 250, 241;
764.241795, 19.252402, 766.259807, 251, 204;
1410.455930, 16.863029, 1412.653636, 252, 250;
1420.023950, 19.770435, 1422.158938, 253, 249;
1097.896865, 16.912086, 1099.999390, 254, 154;
761.972622, 4.845629, 766.455931, 255, 202;
1083.445213, 11.129826, 1086.133705, 256, 197;
327.645686, 16.578846, 330.270264, 257, 192;
213.738429, 9.637931, 215.608284, 258, 69;
264.651706, 15.398653, 266.886947, 259, 54;
1430.012310, 19.288075, 1432.149391, 260, 249;
513.344979, 3.708000, 515.532688, 261, 237;
208.634662, 9.335317, 210.488335, 262, 19;
1440.010943, 19.453382, 1442.148446, 263, 253;
286.181312, 11.337948, 288.086104, 264, 228;
1217.564073, 7.428198, 1220.988047, 265, 243;
314.157399, 16.006170, 316.397509, 266, 234;
645.523306, 12.664977, 647.413243, 267, 123;
1118.413748, 17.751513, 1120.497672, 268, 160;
789.330393, 14.704360, 791.506167, 269, 95;
663.688218, 8.351100, 666.083368, 270, 267;
1021.648993, 18.275257, 1023.734828, 271, 143;
746.834263, 17.806493, 748.860114, 272, 92;
1449.996159, 18.909815, 1452.136820, 273, 260;
1413.486116, 7.793465, 1417.787637, 274, 244;
1459.981822, 18.374519, 1462.132824, 275, 260;
684.749133, 3.105394, 687.787736, 276, 270;
1469.981750, 18.336823, 1472.130150, 277, 260;
1479.952257, 19.104289, 1482.091285, 278, 263;
1489.926071, 19.827498, 1492.077276, 279, 273;
968.897838, 4.570300, 972.908247, 280, 176;
557.194177, 4.348282, 560.271454, 281, 63;
1499.925320, 19.704909, 1502.073377, 282, 278;
1509.921611, 19.432606, 1512.062438, 283, 278;
78.624203, 9.745540, 81.132167, 284, 135;
1272.235781, 17.217635, 1274.349814, 285, 203;
776.329336, 10.980555, 778.941711, 286, 202;
1321.484159, 9.520656, 1324.101148, 287, 209;
881.427187, 6.356420, 886.139806, 288, 110;
1163.038706, 12.280724, 1165.440863, 289, 238;
963.727032, 0.522715, 971.102947, 290, 131;
1519.824543, 18.042665, 1521.977703, 291, 278;
854.210992, 9.341938, 856.630778, 292, 172;
